id,label,timeset,fan_count,category,username,users_can_post,link,post_activity,talking_about_count
279935368847,Black Violin,,152825,Musician/Band,BlackViolinMusic,yes,https://www.facebook.com/BlackViolinMusic/,0.01,553
572253962792493,KNOWER,,18060,Other,KNOWERmusic,yes,https://www.facebook.com/KNOWERmusic/,0.01,212
391261507657125,Adam Richman's Fandemonium,,2999,TV Show,AdamRichmansFandemonium,no,https://www.facebook.com/AdamRichmansFandemonium/,0.0,2
120575041361708,Adam Richman,,426040,Public Figure,adamrichmanofficial,no,https://www.facebook.com/adamrichmanofficial/,0.02,4315
6243987495,Spotify,,16956888,Product/Service,Spotify,no,https://www.facebook.com/Spotify/,0.0,165126
141259789244790,Night Moves,,13320,Musician/Band,NightMovesMPLS,yes,https://www.facebook.com/NightMovesMPLS/,0.01,64
142405469104684,AT&T U-verse,,2032824,Product/Service,uverse,yes,https://www.facebook.com/uverse/,0.97,1351
45761569458,Kesha,,29897428,Musician/Band,kesha,yes,https://www.facebook.com/kesha/,0.15,141327
248096451981997,True Roo: Fan Faces of Bonnaroo,,1070,Community,TrueRooDoc,yes,https://www.facebook.com/TrueRooDoc/,0.0,0
179710488749232,Couch Tour,,23318,Community Organization,couchtour,yes,https://www.facebook.com/couchtour/,0.39,465
98541147377,IBM Cloud Video,,484425,Product/Service,ibmcloudvideo,no,https://www.facebook.com/ibmcloudvideo/,0.07,313
10435416547,Music on Facebook,,6288712,Community,Musicians,no,https://www.facebook.com/Musicians/,0.07,5354
16175594969,Visit Music City,,121520,Tourist Information Center,nashvillemusiccity,yes,https://www.facebook.com/nashvillemusiccity/,0.15,706
400436943323654,William Tyler,,8600,Musician/Band,williamtylermusic,yes,https://www.facebook.com/williamtylermusic/,0.01,25
23768817840,White Lung,,35054,Musician/Band,whitelung,yes,https://www.facebook.com/whitelung/,0.01,38
234680239954344,Wake Owl,,22496,Public Figure,wakeowl,yes,https://www.facebook.com/wakeowl/,0.0,24
312120347007,VON GREY,,64630,Interest,vonGreyMusic,yes,https://www.facebook.com/vonGreyMusic/,0.03,252
144273525616631,Tiny Victories,,2268,Musician/Band,tinyvictories,yes,https://www.facebook.com/tinyvictories/,0.0,0
32482909673,The Revivalists,,107243,Musician/Band,therevivalists,no,https://www.facebook.com/therevivalists/,0.03,3407
330296071280,The Mowgli's,,86860,Musician/Band,themowglis,no,https://www.facebook.com/themowglis/,0.01,191
302527783093233,SIMO,,11832,Musician/Band,simotheband,yes,https://www.facebook.com/simotheband/,0.03,527
9057666397,Ryan Montbleau,,25785,Public Figure,Montbleau,yes,https://www.facebook.com/Montbleau/,0.04,1028
324730205023,ROYAL THUNDER,,33087,Musician/Band,RoyalThunderMusic,yes,https://www.facebook.com/RoyalThunderMusic/,0.1,863
48221837054,Rayland Baxter,,20073,Musician/Band,RaylandBaxterMusic,yes,https://www.facebook.com/RaylandBaxterMusic/,0.01,81
150698651670185,Ranch Ghost,,3828,Musician/Band,ranchghostcoasttocoast,yes,https://www.facebook.com/ranchghostcoasttocoast/,0.0,74
168965206466834,Peanut Butter Lovesicle,,13255,Musician/Band,peanutbutterlovesicle,yes,https://www.facebook.com/peanutbutterlovesicle/,0.0,7
22514343104,ON AN ON,,37819,Musician/Band,itsOnAnOn,yes,https://www.facebook.com/itsOnAnOn/,0.0,35
403550059680965,NOCONA,,2499,Musician/Band,NoconaMusic,yes,https://www.facebook.com/NoconaMusic/,0.01,10
35429175162,Naia Kete,,28358,Musician/Band,naiakete,yes,https://www.facebook.com/naiakete/,0.01,40
6247437071,Milow,,335730,Musician/Band,MilowOfficial,yes,https://www.facebook.com/MilowOfficial/,0.07,2068
243191776665,Matrimony,,12383,Musician/Band,MatrimonyNC,yes,https://www.facebook.com/MatrimonyNC/,0.01,20
79928620563,Maps & Atlases,,54327,Musician/Band,mapsandatlases,yes,https://www.facebook.com/mapsandatlases/,0.0,56
34746139416,Lucius,,67901,Musician/Band,ilovelucius,yes,https://www.facebook.com/ilovelucius/,0.02,241
136667033092993,LiL iFFy,,1701,Musician/Band,WANDCORE,yes,https://www.facebook.com/WANDCORE/,0.0,1
92793867317,Kyng,,36099,Musician/Band,Kyngband,yes,https://www.facebook.com/Kyngband/,0.06,360
117664178308367,Kacey Musgraves,,765144,Musician/Band,KaceyMusgravesOfficial,no,https://www.facebook.com/KaceyMusgravesOfficial/,0.02,11326
389081827826076,Jonny Fritz,,10617,Musician/Band,dadcountry,yes,https://www.facebook.com/dadcountry/,0.01,120
130472080369485,Jillette Johnson,,11792,Musician/Band,jillettejohnson,yes,https://www.facebook.com/jillettejohnson/,0.05,224
318381547795,James McCartney,,170985,Musician/Band,JamesMcCartneyMusic,yes,https://www.facebook.com/JamesMcCartneyMusic/,0.01,109
161554601053,"He's My Brother, She's My Sister",,29973,Musician/Band,hesmybrothershesmysister,yes,https://www.facebook.com/hesmybrothershesmysister/,0.0,33
215870171761543,Daniel Romano,,15922,Artist,danielromanomusic,yes,https://www.facebook.com/danielromanomusic/,0.01,179
401021386623061,Cloney,,1377,Musician/Band,TheRealCloneY,yes,https://www.facebook.com/TheRealCloneY/,0.0,2
348312871897425,Chris Stapleton,,855686,Musician/Band,chrisstapletonofficial,yes,https://www.facebook.com/chrisstapletonofficial/,0.38,6695
122218011123478,Capital Cities,,1584339,Musician/Band,capitalcities,yes,https://www.facebook.com/capitalcities/,0.01,1787
312053646286,bean,,790,Musician/Band,beanband,yes,https://www.facebook.com/beanband/,0.0,18
13238699645,Andrew Duhon,,4984,Musician/Band,andrewduhonmusic,yes,https://www.facebook.com/andrewduhonmusic/,0.02,61
117732115074148,Alice and the Glass Lake,,3950,Musician/Band,AliceAndTheGlassLake,yes,https://www.facebook.com/AliceAndTheGlassLake/,0.0,44
283857041684950,Alanna Royale,,4983,Musician/Band,AlannaRoyale,yes,https://www.facebook.com/AlannaRoyale/,0.02,91
322680454431565,Bilal,,106499,Musician/Band,OfficialBilalPage,yes,https://www.facebook.com/OfficialBilalPage/,0.01,1184
111400018885527,Larry Graham,,53088,Musician/Band,,yes,https://www.facebook.com/Larry-Graham-111400018885527/,0.01,423
170782259631047,The Rubens,,104143,Musician/Band,therubensmusic,yes,https://www.facebook.com/therubensmusic/,0.01,133
135986092514,Delta Rae,,64135,Musician/Band,deltarae,yes,https://www.facebook.com/deltarae/,0.1,3108
262982099872,Black Prairie,,8905,Musician/Band,blackprairie,yes,https://www.facebook.com/blackprairie/,0.0,3
129677932346,The Polyphonic Spree,,42267,Musician/Band,polyphonicspree,yes,https://www.facebook.com/polyphonicspree/,0.03,230
24225099488,Solange,,1432471,Musician/Band,solange,no,https://www.facebook.com/solange/,0.02,2030
39874546594,Empire of the Sun,,1154065,Musician/Band,empireofthesun,no,https://www.facebook.com/empireofthesun/,0.02,1209
228343513845487,Dave Grohl,,1568854,Artist,DaveGrohl.FF,no,https://www.facebook.com/DaveGrohl.FF/,0.0,10483
106070549424629,The Last Waltz,,46686,Interest,,no,https://www.facebook.com/pages/The-Last-Waltz/106070549424629,0.0,0
170869886291532,Death Grips,,321066,Music,deathgripz,no,https://www.facebook.com/deathgripz/,0.0,866
171350712892526,Conspirator (Official),,47104,Musician/Band,ConspiratorOfficial,yes,https://www.facebook.com/ConspiratorOfficial/,0.0,49
109325565800581,Wild Nothing,,184921,Musician/Band,wildnothing,yes,https://www.facebook.com/wildnothing/,0.0,287
248492688494207,araabMUZIK,,173929,Musician/Band,AraabMuzikMVP,no,https://www.facebook.com/AraabMuzikMVP/,0.01,175
99636325744,Django Django,,152349,Musician/Band,thedjangos,yes,https://www.facebook.com/thedjangos/,0.01,143
104753081840,HAIM,,859432,Musician/Band,haimtheband,no,https://www.facebook.com/haimtheband/,0.05,6731
691105580952385,Killer Mike GTO,,155206,Musician/Band,killermikegto,yes,https://www.facebook.com/killermikegto/,0.02,1487
107784895911641,Killer Mike,,72537,Interest,,no,https://www.facebook.com/pages/Killer-Mike/107784895911641,0.0,0
53610951290,Ariel Pink,,122180,Performing Arts,arielxpink,yes,https://www.facebook.com/arielxpink/,0.0,1507
111529277124,Action Bronson,,477524,Musician/Band,ActionBronsonMusic,yes,https://www.facebook.com/ActionBronsonMusic/,0.01,1110
15091158604,Clockwork,,207471,Musician/Band,clockworkmusic,yes,https://www.facebook.com/clockworkmusic/,0.0,124
171755106168792,Charli XCX,,2785461,Musician/Band,charlixcxmusic,yes,https://www.facebook.com/charlixcxmusic/,0.17,20446
38431837571,Jason Isbell,,204186,Musician/Band,jasonisbellmusic,yes,https://www.facebook.com/jasonisbellmusic/,0.28,33323
126872810682603,Lord Huron,,134439,Musician/Band,lordhuron,yes,https://www.facebook.com/lordhuron/,0.02,716
126016954108955,Milo Greene,,55313,Musician/Band,MiloGreene,yes,https://www.facebook.com/MiloGreene/,0.01,196
158131504229821,Reptar,,33828,Musician/Band,reptarmusic,yes,https://www.facebook.com/reptarmusic/,0.0,30
32287690475,Drew Holcomb and the Neighbors,,65611,Music,drewholcombmusic,yes,https://www.facebook.com/drewholcombmusic/,0.03,1569
135641689794933,JD McPherson,,62528,Musician/Band,jdmcphersonhistyle,yes,https://www.facebook.com/jdmcphersonhistyle/,0.03,4880
7776889586,Patrick Watson,,136792,Musician/Band,patrickwatsonofficial,yes,https://www.facebook.com/patrickwatsonofficial/,0.0,242
127122823965503,Nicki Bluhm & The Gramblers,,63262,Musician/Band,nickibluhm,yes,https://www.facebook.com/nickibluhm/,0.02,726
101886043186234,Aoife O'Donovan,,1673,Author,,no,https://www.facebook.com/pages/Aoife-ODonovan/101886043186234,0.0,0
140812672646733,Bombino,,61626,Musician/Band,bombino.official,yes,https://www.facebook.com/bombino.official/,0.01,1166
161184837237318,Bernhoft,,109140,Musician/Band,jarlebernhoft,yes,https://www.facebook.com/jarlebernhoft/,0.01,977
470095113004770,Matthew E. White,,14415,Musician/Band,amatthewewhitejoint,yes,https://www.facebook.com/amatthewewhitejoint/,0.01,26
133959086699511,Four Tet,,340889,Musician/Band,FourTetKieran,yes,https://www.facebook.com/FourTetKieran/,0.01,546
10638651883,the Sheepdogs,,70440,Musician/Band,thesheepdogs,yes,https://www.facebook.com/thesheepdogs/,0.02,593
144106058986098,Two Gallants,,41135,Musician/Band,twogallants,yes,https://www.facebook.com/twogallants/,0.0,36
151710422621,Fatoumata Diawara,,472036,Musician/Band,FatouMusic,yes,https://www.facebook.com/FatouMusic/,0.03,26644
58274076215,Lee Fields & The Expressions,,49523,Musician/Band,leefieldsandtheexpressions,yes,https://www.facebook.com/leefieldsandtheexpressions/,0.02,313
